2008-12-01,MIN,COL,5,6
2008-11-30,CAR,ANA,1,4
2008-11-30,DAL,EDM,4,3
2008-11-30,ATL,STL,2,4
2008-11-30,NYR,FLA,0,4
2008-11-29,CGY,VAN,3,1
2008-11-29,PIT,NJD,4,1
2008-11-29,NSH,MIN,2,6
2008-11-29,MTL,BUF,3,2
2008-11-29,NYI,OTT,4,2
2008-11-29,COL,TBL,4,3
2008-11-29,BOS,DET,4,1
2008-11-29,PHX,SJS,2,3
2008-11-29,CBJ,WSH,3,0
2008-11-29,STL,EDM,2,4
2008-11-29,LAK,CHI,5,2
2008-11-28,BUF,PIT,4,3
2008-11-28,ATL,NSH,3,3
2008-11-28,FLA,NYR,3,3
2008-11-28,DET,CBJ,5,3
2008-11-28,DAL,SJS,2,6
2008-11-28,WSH,MTL,3,0
2008-11-28,PHX,COL,2,1
2008-11-28,MIN,TBL,4,2
2008-11-28,ANA,CHI,1,0
2008-11-28,PHI,CAR,2,2
2008-11-28,BOS,NYI,7,2
2008-11-27,OTT,TOR,1,1
2008-11-27,VAN,CGY,3,4
2008-11-26,EDM,LAK,1,2
2008-11-26,TBL,NYR,2,2
2008-11-26,FLA,NJD,2,2
2008-11-26,DET,MTL,1,3
2008-11-26,SJS,CHI,2,2
2008-11-26,BUF,BOS,3,2
2008-11-26,CBJ,PHX,2,3
2008-11-26,MIN,DAL,3,4
2008-11-26,NYI,PIT,3,5
2008-11-26,COL,STL,3,1
2008-11-26,WSH,ATL,5,3
